epoch,step,train_loss,val_loss
0,24,,0.0036684288643300533
1,49,0.006196151487529278,
1,49,,0.003910133149474859
2,74,,0.0042902021668851376
3,99,0.0025936563033610582,
3,99,,0.004835024941712618
4,124,,0.004005665425211191
5,149,0.006016242783516645,
5,149,,0.004610310774296522
6,174,,0.00409679114818573
7,199,0.0021510920487344265,
7,199,,0.003935386426746845
8,224,,0.004004315938800573
9,249,0.005501230712980032,
9,249,,0.0038035798352211714
10,274,,0.0038344368804246187
11,299,0.0024651282001286745,
11,299,,0.0038691614754498005
12,324,,0.0048644631169736385
13,349,0.00632496876642108,
13,349,,0.005708395503461361
14,374,,0.004415052477270365
15,399,0.0021644355729222298,
15,399,,0.004229899030178785
16,424,,0.0037431323435157537
17,449,0.0055377911776304245,
17,449,,0.0043795146048069
18,474,,0.003661162219941616
19,499,0.07342518121004105,
19,499,,0.003712556092068553
20,524,,0.0038545532152056694
21,549,0.0028411380480974913,
21,549,,0.003663774812594056
22,574,,0.004951858893036842
23,599,0.026323653757572174,
23,599,,0.0036501348949968815
24,624,,0.0036920655984431505
25,649,0.003079188521951437,
25,649,,0.00362766464240849
26,674,,0.003954051528126001
27,699,0.02461179904639721,
27,699,,0.005098982714116573
28,724,,0.003815333591774106
29,749,0.0018667117692530155,
29,749,,0.0036387850996106863
30,774,,0.003952397499233484
31,799,0.004601720254868269,
31,799,,0.0036259889602661133
32,824,,0.0036362335085868835
33,849,0.0019523121882230043,
33,849,,0.0037948908284306526
34,874,,0.0037770478520542383
35,899,0.002112644724547863,
35,899,,0.0038729365915060043
36,924,,0.0038940468803048134
37,949,0.004649563692510128,
37,949,,0.0037375304382294416
38,974,,0.00382227567024529
39,999,0.0019612854812294245,
39,999,,0.00366220367141068
40,1024,,0.0038588708266615868
41,1049,0.004860897082835436,
41,1049,,0.0036694256123155355
42,1074,,0.003834713948890567
43,1099,0.0028000306338071823,
43,1099,,0.003687713760882616
44,1124,,0.003706145565956831
45,1149,0.0472680889070034,
45,1149,,0.0038107859436422586
46,1174,,0.0036356644704937935
47,1199,0.0013866187073290348,
47,1199,,0.003942088223993778
48,1224,,0.0036462771240621805
49,1249,0.002328237984329462,
49,1249,,0.003991343080997467
50,1274,,0.0036907263565808535
51,1299,0.06663280725479126,
51,1299,,0.003665023483335972
52,1324,,0.003688976401463151
53,1349,0.002343058818951249,
53,1349,,0.003918402828276157
54,1374,,0.003773945150896907
55,1399,0.0021900776773691177,
55,1399,,0.0036697369068861008
56,1424,,0.003939248155802488
57,1449,0.0033421942498534918,
57,1449,,0.0036895452067255974
58,1474,,0.003705060575157404
59,1499,0.025927191600203514,
59,1499,,0.0037330463528633118
60,1524,,0.0036996998824179173
61,1549,0.0709952712059021,
61,1549,,0.0038372972048819065
