epoch,step,train_loss,val_loss
0,12,,0.00403234176337719
1,25,,0.004220963455736637
2,38,,0.004037237726151943
3,49,0.00908712763339281,
3,51,,0.004657714627683163
4,64,,0.004062687046825886
5,77,,0.0040743169374763966
6,90,,0.004399990197271109
7,99,0.0017448614817112684,
7,103,,0.00399594334885478
8,116,,0.004124870058149099
9,129,,0.0045419721864163876
10,142,,0.003862169338390231
11,149,0.02846967987716198,
11,155,,0.004086543805897236
12,168,,0.00449494831264019
13,181,,0.003980165813118219
14,194,,0.004189200699329376
15,199,0.017220398411154747,
15,207,,0.004027450457215309
16,220,,0.004473458975553513
17,233,,0.0037101933266967535
18,246,,0.0039675235748291016
19,249,0.013118604198098183,
19,259,,0.0036138808354735374
20,272,,0.003830335568636656
21,285,,0.003761683125048876
22,298,,0.0037847927305847406
23,299,0.0035744879860430956,
23,311,,0.003885685931891203
24,324,,0.0038465955294668674
25,337,,0.0040157632902264595
26,349,0.02661244384944439,
26,350,,0.0037265841383486986
27,363,,0.0039143371395766735
28,376,,0.0038142057601362467
29,389,,0.003850242355838418
30,399,0.029280876740813255,
30,402,,0.00372490705922246
31,415,,0.003696129657328129
32,428,,0.0036924092564731836
33,441,,0.0037028396036475897
34,449,0.0025080854538828135,
34,454,,0.0037502937484532595
35,467,,0.00372007442638278
36,480,,0.0036756324116140604
37,493,,0.0036867682356387377
38,499,0.0139068104326725,
38,506,,0.003753984346985817
39,519,,0.003735406557098031
