epoch,step,train_loss,val_loss
0,13,,0.006663037464022636
1,27,,0.0038398606702685356
2,41,,0.003664508694782853
3,49,0.004051267169415951,
3,55,,0.004108798690140247
4,69,,0.003783946856856346
5,83,,0.004369149915874004
6,97,,0.0037576130125671625
7,99,0.0022532164584845304,
7,111,,0.0038759156595915556
8,125,,0.0038895681500434875
9,139,,0.003931606188416481
10,149,0.011536341160535812,
10,153,,0.0039490507915616035
11,167,,0.003940209746360779
12,181,,0.004136077128350735
13,195,,0.004148208536207676
14,199,0.016565000638365746,
14,209,,0.0038816260639578104
15,223,,0.004346040077507496
16,237,,0.0037258139345794916
17,249,0.04412882402539253,
17,251,,0.004651353694498539
18,265,,0.00368511606939137
19,279,,0.0044420757330954075
20,293,,0.003782601561397314
21,299,0.016217412427067757,
21,307,,0.004315689671784639
22,321,,0.003730532480403781
23,335,,0.00414793798699975
24,349,0.010349537245929241,
24,349,,0.004164970479905605
25,363,,0.003985147457569838
26,377,,0.003862544661387801
27,391,,0.004014846868813038
28,399,0.0036685301456600428,
28,405,,0.0039521208964288235
29,419,,0.003945738077163696
30,433,,0.00393629539757967
31,447,,0.003654732368886471
32,449,0.03977541625499725,
32,461,,0.004061902407556772
33,475,,0.003643203293904662
34,489,,0.004367785528302193
35,499,0.018427561968564987,
35,503,,0.0037079686298966408
36,517,,0.0036328351125121117
37,531,,0.004139645025134087
38,545,,0.0036385399289429188
39,549,0.0019289982737973332,
39,559,,0.00405487697571516
40,573,,0.00365845812484622
41,587,,0.0037327611353248358
42,599,0.01683410070836544,
42,601,,0.0038716786075383425
43,615,,0.0037975884042680264
44,629,,0.0038535157218575478
45,643,,0.003689039032906294
46,649,0.005279170349240303,
46,657,,0.0038392965216189623
47,671,,0.0036552336532622576
48,685,,0.0036427085287868977
49,699,0.005122988950461149,
49,699,,0.0036358279176056385
50,713,,0.0037601820658892393
51,727,,0.0036368679720908403
52,741,,0.0036955634132027626
53,749,0.0033624835778027773,
53,755,,0.0036202366463840008
54,769,,0.00373290223069489
55,783,,0.003700924338772893
56,797,,0.0036732160951942205
57,799,0.0028304073493927717,
57,811,,0.0037687693256884813
58,825,,0.0036593999247998
59,839,,0.0037059779278934
60,849,0.02008316107094288,
60,853,,0.0038151952903717756
61,867,,0.00373813952319324
62,881,,0.0038183981087058783
63,895,,0.0037346992176026106
64,899,0.003349202685058117,
64,909,,0.003721983404830098
65,923,,0.003773677861317992
66,937,,0.003689015982672572
67,949,0.007113609928637743,
67,951,,0.003958296030759811
68,965,,0.0037093544378876686
69,979,,0.0036787723656743765
70,993,,0.0036723145749419928
71,999,0.001831208122894168,
71,1007,,0.003713046433404088
72,1021,,0.0038579648826271296
73,1035,,0.0037512006238102913
74,1049,0.0034462984185665846,
74,1049,,0.003708881326019764
75,1063,,0.0036941845901310444
76,1077,,0.0036749658174812794
77,1091,,0.0036734070163220167
78,1099,0.009250262752175331,
78,1105,,0.0036963187158107758
79,1119,,0.0037483791820704937
80,1133,,0.003711820114403963
81,1147,,0.003694170154631138
82,1149,0.018818072974681854,
82,1161,,0.0038446669932454824
83,1175,,0.0038781389594078064
