epoch,step,train_loss,val_loss
0,9,,0.012959219515323639
1,19,,0.008597705513238907
2,29,,0.0038159447722136974
3,39,,0.004258785862475634
4,49,0.010475685819983482,
4,49,,0.004071180243045092
5,59,,0.0037519598845392466
6,69,,0.004512086510658264
7,79,,0.003847134532406926
8,89,,0.004000035114586353
9,99,0.01811669021844864,
9,99,,0.003915632609277964
10,109,,0.003833124879747629
11,119,,0.004045717418193817
12,129,,0.0038731032982468605
13,139,,0.004343844018876553
14,149,0.024710997939109802,
14,149,,0.0038179242983460426
15,159,,0.00401301309466362
16,169,,0.003975484054535627
17,179,,0.004033657256513834
18,189,,0.0038982094265520573
19,199,0.027372635900974274,
19,199,,0.003913655877113342
20,209,,0.003977141343057156
21,219,,0.003771378193050623
22,229,,0.0042045703157782555
23,239,,0.003871025051921606
24,249,0.016845759004354477,
24,249,,0.0042063770815730095
25,259,,0.0038192574866116047
26,269,,0.004141220357269049
27,279,,0.003736334154382348
28,289,,0.004515237640589476
29,299,0.0044273920357227325,
29,299,,0.00404841173440218
30,309,,0.003789125708863139
31,319,,0.0043770368210971355
32,329,,0.003882485907524824
33,339,,0.00439659645780921
34,349,0.004004604183137417,
34,349,,0.0037937979213893414
35,359,,0.003973829559981823
36,369,,0.003948790952563286
37,379,,0.0036794256884604692
38,389,,0.00404181657359004
39,399,0.0037036179564893246,
39,399,,0.0038540386594831944
40,409,,0.0038983633276075125
41,419,,0.003712301841005683
42,429,,0.003828369779512286
43,439,,0.0037006260827183723
44,449,0.007923902943730354,
44,449,,0.0038421337958425283
45,459,,0.003744630143046379
46,469,,0.004196859430521727
47,479,,0.0036488783080130816
48,489,,0.004142094869166613
49,499,0.010448644869029522,
49,499,,0.003653140040114522
50,509,,0.0037510492838919163
51,519,,0.0037042165640741587
52,529,,0.003827411215752363
53,539,,0.0036455325316637754
54,549,0.012837112881243229,
54,549,,0.0038158840034157038
55,559,,0.003677329747006297
56,569,,0.003703916445374489
57,579,,0.0038035036996006966
58,589,,0.0036887233145534992
59,599,0.010353783145546913,
59,599,,0.003747898619621992
60,609,,0.0036995713599026203
61,619,,0.003939251881092787
62,629,,0.0036703688092529774
63,639,,0.0036974316462874413
64,649,0.007501089479774237,
64,649,,0.003802328137680888
65,659,,0.003966924734413624
66,669,,0.0037082694470882416
67,679,,0.003710640361532569
68,689,,0.003726227441802621
69,699,0.009922374971210957,
69,699,,0.003718789666891098
70,709,,0.00374603015370667
71,719,,0.003737698309123516
72,729,,0.003692792961373925
73,739,,0.0037461635656654835
74,749,0.004075085744261742,
74,749,,0.0037963257636874914
75,759,,0.003690086305141449
76,769,,0.003764909226447344
77,779,,0.003810838796198368
78,789,,0.0037293166387826204
79,799,0.029791923239827156,
79,799,,0.003728629555553198
80,809,,0.0037703830748796463
81,819,,0.003821637714281678
82,829,,0.0037772096693515778
83,839,,0.0037175153847783804
