epoch,step,train_loss,val_loss
0,49,0.026193099096417427,
0,74,,0.010812317952513695
1,99,0.01462152972817421,
1,149,0.006126908585429192,
1,149,,0.010857253335416317
2,199,0.005439305678009987,
2,224,,0.010631677694618702
3,249,0.016855698078870773,
3,299,0.00354675087146461,
3,299,,0.010751750320196152
4,349,0.017536485567688942,
4,374,,0.010035079903900623
5,399,0.01050163060426712,
5,449,0.003395565552636981,
5,449,,0.009916202165186405
6,499,0.004425825551152229,
6,524,,0.009887869469821453
7,549,0.003216184675693512,
7,599,0.026365293189883232,
7,599,,0.010169265791773796
8,649,0.0171698946505785,
8,674,,0.010289151221513748
9,699,0.011834673583507538,
9,749,0.04430577903985977,
9,749,,0.00993223674595356
10,799,0.003125049639493227,
10,824,,0.009844720363616943
11,849,0.019016392529010773,
11,899,0.001152653363533318,
11,899,,0.010272715240716934
12,949,0.004437190014868975,
12,974,,0.009825069457292557
13,999,0.0036438177339732647,
13,1049,0.00590298930183053,
13,1049,,0.010189643129706383
14,1099,0.0034543408546596766,
14,1124,,0.009853038936853409
15,1149,0.003041293006390333,
15,1199,0.003626184305176139,
15,1199,,0.009869234636425972
16,1249,0.010331857018172741,
16,1274,,0.009761390276253223
17,1299,0.008944645524024963,
17,1349,0.0030339262448251247,
17,1349,,0.009737515822052956
18,1399,0.003795294789597392,
18,1424,,0.009726292453706264
19,1449,0.013849622569978237,
19,1499,0.005196398124098778,
19,1499,,0.009723224677145481
20,1549,0.008970275521278381,
20,1574,,0.009586037136614323
21,1599,0.0020699461456388235,
21,1649,0.02627495490014553,
21,1649,,0.00976787693798542
22,1699,0.012160762213170528,
22,1724,,0.00954381749033928
23,1749,0.004705582745373249,
23,1799,0.003035685047507286,
23,1799,,0.009581172838807106
24,1849,0.011281654238700867,
24,1874,,0.00955839455127716
25,1899,0.018634887412190437,
25,1949,0.006490510888397694,
25,1949,,0.009506192989647388
26,1999,0.01777632161974907,
26,2024,,0.00947737880051136
27,2049,0.007075371686369181,
27,2099,0.014558977447450161,
27,2099,,0.009449603967368603
28,2149,0.003977260086685419,
28,2174,,0.009476332925260067
29,2199,0.0028500594198703766,
29,2249,0.005356822162866592,
29,2249,,0.009551365859806538
30,2299,0.0031999400816857815,
30,2324,,0.009453794918954372
31,2349,0.007296047639101744,
31,2399,0.004785278812050819,
31,2399,,0.00931296031922102
32,2449,0.02692343294620514,
32,2474,,0.00942994374781847
33,2499,0.009328597225248814,
33,2549,0.010188605636358261,
33,2549,,0.00937762949615717
34,2599,0.013485264033079147,
34,2624,,0.009340778924524784
35,2649,0.0037495854776352644,
35,2699,0.0030704571399837732,
35,2699,,0.009409776888787746
36,2749,0.002207019366323948,
36,2774,,0.009379934519529343
37,2799,0.011372262611985207,
37,2849,0.00757754547521472,
37,2849,,0.009329063817858696
38,2899,0.01008496806025505,
38,2924,,0.009267115034162998
39,2949,0.004089565947651863,
39,2999,0.0030976091511547565,
39,2999,,0.009260487742722034
40,3049,0.014548303559422493,
40,3074,,0.009271305054426193
41,3099,0.003251927439123392,
41,3149,0.04378693178296089,
41,3149,,0.009257872588932514
42,3199,0.012899576686322689,
42,3224,,0.009258097037672997
43,3249,0.004187603015452623,
43,3299,0.021261222660541534,
43,3299,,0.00925688911229372
44,3349,0.0028908015228807926,
44,3374,,0.00924516562372446
45,3399,0.001970304176211357,
45,3449,0.008250169456005096,
45,3449,,0.009250526316463947
46,3499,0.003093002364039421,
46,3524,,0.009243376553058624
47,3549,0.016912391409277916,
47,3599,0.004754767287522554,
47,3599,,0.009246600791811943
48,3649,0.007751180324703455,
48,3674,,0.009247224777936935
49,3699,0.0067268963903188705,
49,3749,0.004248346667736769,
49,3749,,0.00924606528133154
50,3799,0.055190108716487885,
50,3824,,0.00924606528133154
51,3849,0.002960223238915205,
51,3899,0.003518901765346527,
51,3899,,0.009245781227946281
52,3949,0.004218188114464283,
52,3974,,0.009245101362466812
53,3999,0.0032678935676813126,
53,4049,0.015886399894952774,
53,4049,,0.009243161417543888
54,4099,0.011350122280418873,
54,4124,,0.009242038242518902
55,4149,0.01096579059958458,
55,4199,0.001491386559791863,
55,4199,,0.009253050200641155
56,4249,0.010649939067661762,
56,4274,,0.009241566993296146
57,4299,0.003151688724756241,
57,4349,0.007687178906053305,
57,4349,,0.009237096644937992
58,4399,0.004468607250601053,
58,4424,,0.009247774258255959
59,4449,0.026650667190551758,
59,4499,0.00621713325381279,
59,4499,,0.009251279756426811
60,4549,0.004309977404773235,
60,4574,,0.009231197647750378
61,4599,0.006104516331106424,
61,4649,0.0039029098115861416,
61,4649,,0.00923615787178278
62,4699,0.005509537644684315,
62,4724,,0.009232397191226482
63,4749,0.032145459204912186,
63,4799,0.0017290087416768074,
63,4799,,0.009265695698559284
64,4849,0.004805794917047024,
64,4874,,0.00929013267159462
65,4899,0.0026937471702694893,
65,4949,0.0029730629175901413,
65,4949,,0.009277970530092716
66,4999,0.010492636822164059,
66,5024,,0.009328632615506649
67,5049,0.016953544691205025,
67,5099,0.0011119485134258866,
67,5099,,0.009250184521079063
68,5149,0.013375693000853062,
68,5174,,0.009218494407832623
69,5199,0.005854062270373106,
69,5249,0.005663049872964621,
69,5249,,0.009246231988072395
70,5299,0.007908699102699757,
70,5324,,0.009254427626729012
71,5349,0.020901931449770927,
71,5399,0.003325853729620576,
71,5399,,0.00937399547547102
72,5449,0.005079719703644514,
72,5474,,0.009201904758810997
73,5499,0.0037996924947947264,
73,5549,0.014920525252819061,
73,5549,,0.00920505728572607
74,5599,0.01376767735928297,
74,5624,,0.00934409350156784
75,5649,0.0036065434105694294,
75,5699,0.0050114355981349945,
75,5699,,0.009310632012784481
76,5749,0.004387375432997942,
76,5774,,0.00932092685252428
77,5799,0.004158705472946167,
77,5849,0.006446301005780697,
77,5849,,0.009279349818825722
78,5899,0.007622693665325642,
78,5924,,0.009445631876587868
79,5949,0.018406206741929054,
79,5999,0.004336892161518335,
