epoch,step,train_loss,val_loss
0,12,,0.0051966337487101555
1,25,,0.003851448418572545
2,38,,0.004015057813376188
3,49,0.01770019717514515,
3,51,,0.004268718883395195
4,64,,0.004367778077721596
5,77,,0.0039839050732553005
6,90,,0.0042487094178795815
7,99,0.014189643785357475,
7,103,,0.004248327575623989
8,116,,0.0039664823561906815
9,129,,0.004160215146839619
10,142,,0.004130175802856684
11,149,0.01653841882944107,
11,155,,0.004298252984881401
12,168,,0.003890655003488064
13,181,,0.003630205523222685
14,194,,0.0035463771782815456
15,199,0.017223862931132317,
15,207,,0.0036095569375902414
16,220,,0.003984237089753151
17,233,,0.0038114767521619797
18,246,,0.004058012273162603
19,249,0.004466509912163019,
19,259,,0.0037791687063872814
20,272,,0.0035958285443484783
21,285,,0.004022659733891487
22,298,,0.003761284751817584
23,299,0.007231889292597771,
23,311,,0.0035851073917001486
24,324,,0.0036131725646555424
25,337,,0.003771312301978469
26,349,0.007106294855475426,
26,350,,0.0037343003787100315
27,363,,0.003715347731485963
28,376,,0.003732110606506467
29,389,,0.0038232968654483557
30,399,0.004627506248652935,
30,402,,0.0035982364788651466
31,415,,0.003651099046692252
32,428,,0.0036236108280718327
33,441,,0.003733751829713583
34,449,0.004308484029024839,
34,454,,0.0037371523212641478
35,467,,0.0036879340186715126
36,480,,0.0037166792899370193
37,493,,0.0036361021921038628
38,499,0.007020474877208471,
38,506,,0.003656117944046855
39,519,,0.0037577589973807335
40,532,,0.0037524602375924587
41,545,,0.0037461526226252317
42,549,0.0024003307335078716,
42,558,,0.003739705076441169
43,571,,0.003693600185215473
44,584,,0.0037679513916373253
