epoch,step,train_loss,val_loss
0,46,,0.004451097920536995
1,49,0.0012392320204526186,
1,93,,0.004994321148842573
2,99,0.00600487319752574,
2,140,,0.004477479960769415
3,149,0.010450176894664764,
3,187,,0.004614483565092087
4,199,0.002298502717167139,
4,234,,0.006608542520552874
5,249,0.014841876924037933,
5,281,,0.004202321637421846
6,299,0.0023302845656871796,
6,328,,0.004370125941932201
7,349,0.0016357155982404947,
7,375,,0.004268145654350519
8,399,0.0016185722779482603,
8,422,,0.005794035270810127
9,449,0.001595456968061626,
9,469,,0.004447608254849911
10,499,0.004160748794674873,
10,516,,0.004328932147473097
11,549,0.0027066839393228292,
11,563,,0.004172422923147678
12,599,0.012298713438212872,
12,610,,0.004164458718150854
13,649,0.0045270430855453014,
13,657,,0.004669238347560167
14,699,0.0024617002345621586,
14,704,,0.004367296118289232
15,749,0.0020694115664809942,
15,751,,0.005291665438562632
16,798,,0.005107018165290356
17,799,0.0033305571414530277,
17,845,,0.0042658355087041855
18,849,0.006828805897384882,
18,892,,0.004481113515794277
19,899,0.0053632440976798534,
19,939,,0.004282335285097361
20,949,0.03339304029941559,
20,986,,0.004285098984837532
21,999,0.0012134512653574347,
21,1033,,0.0043457248248159885
22,1049,0.003489383729174733,
22,1080,,0.004388232249766588
23,1099,0.003009495325386524,
23,1127,,0.0043461560271680355
24,1149,0.0026562651619315147,
24,1174,,0.004310599993914366
25,1199,0.0037387385964393616,
25,1221,,0.004191250540316105
26,1249,0.0010269948979839683,
26,1268,,0.004293403588235378
27,1299,0.004349900409579277,
27,1315,,0.004207902122288942
28,1349,0.0032394283916801214,
28,1362,,0.004322194028645754
29,1399,0.0027332929894328117,
29,1409,,0.0042503951117396355
30,1449,0.0018395555671304464,
30,1456,,0.004256925079971552
31,1499,0.0019153178436681628,
31,1503,,0.004203771241009235
32,1549,0.0035556997172534466,
32,1550,,0.004304240923374891
