epoch,step,train_loss,val_loss
0,24,,0.0036994044203311205
1,49,0.014358284883201122,
1,49,,0.0040999362245202065
2,74,,0.005206451751291752
3,99,0.0023901534732431173,
3,99,,0.004059347324073315
4,124,,0.003931064158678055
5,149,0.008178803138434887,
5,149,,0.00417319918051362
6,174,,0.00375327467918396
7,199,0.014963063411414623,
7,199,,0.004204955417662859
8,224,,0.003994147293269634
9,249,0.09216561168432236,
9,249,,0.004256867337971926
10,274,,0.0037368128541857004
11,299,0.0037500823382288218,
11,299,,0.0037551855202764273
12,324,,0.003614689689129591
13,349,0.013487010262906551,
13,349,,0.003610679181292653
14,374,,0.003776456695050001
15,399,0.10543375462293625,
15,399,,0.004004788585007191
16,424,,0.003589741885662079
17,449,0.02608628198504448,
17,449,,0.0036202676128596067
18,474,,0.004521105904132128
19,499,0.014918354339897633,
19,499,,0.003780703293159604
20,524,,0.004150560591369867
21,549,0.0017464790726080537,
21,549,,0.00404344080016017
22,574,,0.0037943865172564983
23,599,0.04207766801118851,
23,599,,0.0036148354411125183
24,624,,0.004071678500622511
25,649,0.0035963421687483788,
25,649,,0.003856924595311284
26,674,,0.003661169670522213
27,699,0.0019393700640648603,
27,699,,0.0036398714873939753
28,724,,0.0037408543284982443
29,749,0.008821859955787659,
29,749,,0.003770624054595828
30,774,,0.0037320225965231657
31,799,0.0006994109135121107,
31,799,,0.0037375553511083126
32,824,,0.003684490453451872
33,849,0.00340188667178154,
33,849,,0.003769955364987254
34,874,,0.003705100156366825
35,899,0.0031383708119392395,
35,899,,0.003795202123001218
36,924,,0.0037195112090557814
37,949,0.00208032364025712,
37,949,,0.003767932066693902
38,974,,0.0037551699206233025
39,999,0.0021359685342758894,
39,999,,0.0037667090073227882
40,1024,,0.003746015252545476
41,1049,0.002591850468888879,
41,1049,,0.003761239815503359
42,1074,,0.0037229754962027073
43,1099,0.0033447565510869026,
43,1099,,0.0037422135937958956
44,1124,,0.003730432130396366
45,1149,0.004014050588011742,
45,1149,,0.0037277420051395893
46,1174,,0.003731903387233615
