epoch,step,train_loss,val_loss
0,23,,0.004623437765985727
1,47,,0.004728031810373068
2,49,0.010751941241323948,
2,71,,0.004419439472258091
3,95,,0.00462393369525671
4,99,0.0029144869185984135,
4,119,,0.0050624655559659
5,143,,0.00525092426687479
6,149,0.005806257016956806,
6,167,,0.004699314944446087
7,191,,0.004378157202154398
8,199,0.019200939685106277,
8,215,,0.004277482163161039
9,239,,0.004295362159609795
10,249,0.0022792788222432137,
10,263,,0.005055832676589489
11,287,,0.004655597265809774
12,299,0.0040723178535699844,
12,311,,0.004443065728992224
13,335,,0.004610129166394472
14,349,0.0040544914081692696,
14,359,,0.004646242130547762
15,383,,0.00427653081715107
16,399,0.01935918815433979,
16,407,,0.0043244389817118645
17,431,,0.004281663801521063
18,449,0.027024418115615845,
18,455,,0.004672362469136715
19,479,,0.004747668746858835
20,499,0.003740943968296051,
20,503,,0.004382279701530933
21,527,,0.004701199941337109
22,549,0.0052533526904881,
22,551,,0.004874684382230043
23,575,,0.004936773795634508
24,599,0.0004690513596870005,
24,599,,0.004355939570814371
25,623,,0.004344509448856115
26,647,,0.00435637729242444
27,649,0.0020169157069176435,
27,671,,0.004684034269303083
28,695,,0.004499508999288082
29,699,0.009159750305116177,
29,719,,0.0042834291234612465
30,743,,0.004631705116480589
31,749,0.001471449970267713,
31,767,,0.00436453428119421
32,791,,0.00457558361813426
33,799,0.0034875620622187853,
33,815,,0.004272607620805502
34,839,,0.004320465959608555
35,849,0.002612846437841654,
35,863,,0.0043770913034677505
36,887,,0.004310476593673229
37,899,0.0011238097213208675,
37,911,,0.004719188902527094
38,935,,0.004557780921459198
39,949,0.006337215192615986,
39,959,,0.004336508922278881
40,983,,0.00448096776381135
41,999,0.0034413388930261135,
41,1007,,0.004287359304726124
42,1031,,0.004334060940891504
43,1049,0.002726948354393244,
43,1055,,0.0043515670113265514
44,1079,,0.004416242241859436
45,1099,0.021575136110186577,
45,1103,,0.004587289411574602
46,1127,,0.004348304122686386
47,1149,0.0018880662973970175,
47,1151,,0.004287008661776781
48,1175,,0.004371071234345436
49,1199,0.00875545758754015,
49,1199,,0.0042722877115011215
50,1223,,0.004824007861316204
51,1247,,0.004425466991961002
52,1249,0.047503527253866196,
52,1271,,0.004351301584392786
53,1295,,0.0042771464213728905
54,1299,0.022027065977454185,
54,1319,,0.004472094587981701
55,1343,,0.004428467713296413
56,1349,0.0037098985631018877,
56,1367,,0.004437620285898447
57,1391,,0.00432211859151721
58,1399,0.002211593324318528,
58,1415,,0.004326748661696911
59,1439,,0.004255661275237799
60,1449,0.0029933550395071507,
60,1463,,0.004684305749833584
61,1487,,0.00431960541754961
62,1499,0.002287396229803562,
62,1511,,0.0042660594917833805
63,1535,,0.00426459638401866
64,1549,0.0025830508675426245,
64,1559,,0.004337900783866644
65,1583,,0.004416946787387133
66,1599,0.0065370844677090645,
66,1607,,0.004529987927526236
67,1631,,0.0043406132608652115
68,1649,0.011247546412050724,
68,1655,,0.004354599863290787
69,1679,,0.00431192247197032
70,1699,0.0271407850086689,
70,1703,,0.00451015355065465
71,1727,,0.004350908566266298
72,1749,0.004076178185641766,
72,1751,,0.004536248743534088
73,1775,,0.004433374851942062
74,1799,0.004415007308125496,
74,1799,,0.004268286284059286
75,1823,,0.004538271110504866
76,1847,,0.004431357141584158
77,1849,0.004631631076335907,
77,1871,,0.00446352269500494
78,1895,,0.004351009614765644
79,1899,0.00389696191996336,
79,1919,,0.00448721693828702
80,1943,,0.0043703168630599976
81,1949,0.004554467275738716,
81,1967,,0.004409190732985735
82,1991,,0.004449035041034222
83,1999,0.006565463729202747,
83,2015,,0.004450722131878138
84,2039,,0.0044022612273693085
85,2049,0.00185499619692564,
85,2063,,0.004477133043110371
86,2087,,0.004429076332598925
87,2099,0.0028637712821364403,
87,2111,,0.004467372316867113
88,2135,,0.004461584147065878
89,2149,0.004484635312110186,
89,2159,,0.004431865178048611
