epoch,step,train_loss,val_loss
0,24,,0.004641461651772261
1,49,0.00533865625038743,
1,49,,0.004274229519069195
2,74,,0.0036986435297876596
3,99,0.05050237104296684,
3,99,,0.003679488319903612
4,124,,0.0036657119635492563
5,149,0.04872169345617294,
5,149,,0.0036655862350016832
6,174,,0.0036678744945675135
7,199,0.010716424323618412,
7,199,,0.003853381145745516
8,224,,0.0038537420332431793
9,249,0.0027469354681670666,
9,249,,0.004294390790164471
10,274,,0.003632225329056382
11,299,0.002247929573059082,
11,299,,0.0036487060133367777
12,324,,0.0036974565591663122
13,349,0.003139176871627569,
13,349,,0.00409194128587842
14,374,,0.003834388218820095
15,399,0.004865651018917561,
15,399,,0.004216778092086315
16,424,,0.0036384027916938066
17,449,0.00151923019438982,
17,449,,0.004174510017037392
18,474,,0.003726185532286763
19,499,0.003929513972252607,
19,499,,0.0036889875773340464
20,524,,0.004054873250424862
21,549,0.003647121135145426,
21,549,,0.0036572455428540707
22,574,,0.003651936538517475
23,599,0.032417185604572296,
23,599,,0.0036652465350925922
24,624,,0.004514880944043398
25,649,0.0062642768025398254,
25,649,,0.004035620950162411
26,674,,0.004305652342736721
27,699,0.0028199483640491962,
27,699,,0.0036457187961786985
28,724,,0.003647002624347806
29,749,0.0021581342443823814,
29,749,,0.003803707892075181
30,774,,0.004143675789237022
31,799,0.03186876326799393,
31,799,,0.004044875968247652
32,824,,0.003653548890724778
33,849,0.0013787562493234873,
33,849,,0.003871295601129532
34,874,,0.003665149910375476
35,899,0.003403735114261508,
35,899,,0.004331451375037432
36,924,,0.003654312575235963
37,949,0.0011140517890453339,
37,949,,0.0039336648769676685
38,974,,0.003663448616862297
39,999,0.006966613233089447,
39,999,,0.003871594788506627
40,1024,,0.0037189405411481857
