epoch,step,train_loss,val_loss
0,11,,0.004682647995650768
1,23,,0.005065929144620895
2,35,,0.004542854614555836
3,47,,0.004593792837113142
4,49,0.020458370447158813,
4,59,,0.0044444347731769085
5,71,,0.004959492478519678
6,83,,0.004298643209040165
7,95,,0.004783268552273512
8,99,0.005270861089229584,
8,107,,0.005336650647222996
9,119,,0.004563107620924711
10,131,,0.004220226313918829
11,143,,0.005023580975830555
12,149,0.003336281282827258,
12,155,,0.004298587329685688
13,167,,0.005118235945701599
14,179,,0.004192858003079891
15,191,,0.004504811950027943
16,199,0.0041676899418234825,
16,203,,0.004265736322849989
17,215,,0.004536479711532593
18,227,,0.00470737274736166
19,239,,0.004342283587902784
20,249,0.007483389228582382,
20,251,,0.004393061622977257
21,263,,0.004222606308758259
22,275,,0.00509929982945323
23,287,,0.004215137101709843
24,299,0.005211878567934036,
24,299,,0.004526299424469471
