epoch,step,train_loss,val_loss
0,12,,0.006177179981023073
1,25,,0.00368916941806674
2,38,,0.004294121637940407
3,49,0.012606749311089516,
3,51,,0.004027743358165026
4,64,,0.0040580700151622295
5,77,,0.004047011490911245
6,90,,0.004123622551560402
7,99,0.0042182826437056065,
7,103,,0.0038714937400072813
8,116,,0.004208341706544161
9,129,,0.004088049288839102
10,142,,0.0038867294788360596
11,149,0.004248597659170628,
11,155,,0.00414949981495738
12,168,,0.003948558121919632
13,181,,0.004203508608043194
14,194,,0.004049885086715221
15,199,0.003670381149277091,
15,207,,0.004008694551885128
16,220,,0.00397301884368062
17,233,,0.004253766965121031
18,246,,0.003671124344691634
19,249,0.01931304670870304,
19,259,,0.00401769345626235
20,272,,0.0038422460202127695
21,285,,0.003920507617294788
22,298,,0.004026986658573151
23,299,0.003952899947762489,
23,311,,0.00366475572809577
24,324,,0.0036285396199673414
25,337,,0.004128186032176018
26,349,0.0033962316811084747,
26,350,,0.003703049849718809
27,363,,0.003606606973335147
28,376,,0.003935578279197216
29,389,,0.003612264059484005
30,399,0.027978582307696342,
30,402,,0.0038262212183326483
31,415,,0.003767097368836403
32,428,,0.0038178598042577505
33,441,,0.003604837693274021
34,449,0.018625320866703987,
34,454,,0.0038923912215977907
35,467,,0.003657369641587138
36,480,,0.0038649183697998524
37,493,,0.0037831608206033707
38,499,0.0029123909771442413,
38,506,,0.003727139439433813
39,519,,0.003762609325349331
40,532,,0.003980402369052172
41,545,,0.003703630529344082
42,549,0.008043205365538597,
42,558,,0.003754968987777829
43,571,,0.0037665816489607096
44,584,,0.003854034934192896
45,597,,0.0037380591966211796
46,599,0.03950003162026405,
46,610,,0.003626202465966344
47,623,,0.003837430849671364
48,636,,0.0036771923769265413
49,649,0.005409088917076588,
49,649,,0.0037848218344151974
50,662,,0.0038771615363657475
51,675,,0.003675414714962244
52,688,,0.0038042301312088966
53,699,0.019718460738658905,
53,701,,0.003669243771582842
54,714,,0.003888553474098444
55,727,,0.0036734554450958967
56,740,,0.0038216777611523867
57,749,0.027591397985816002,
57,753,,0.003858843119814992
58,766,,0.0037243682891130447
59,779,,0.003744593821465969
60,792,,0.003899123752489686
61,799,0.005646867677569389,
61,805,,0.003621506504714489
62,818,,0.003831294598057866
63,831,,0.0038005709648132324
