epoch,step,train_loss,val_loss
0,12,,0.005806507542729378
1,25,,0.0039012397173792124
2,38,,0.0038391505368053913
3,49,0.0036727404221892357,
3,51,,0.004215497989207506
4,64,,0.004193865228444338
5,77,,0.003945035859942436
6,90,,0.004250948317348957
7,99,0.003782219486311078,
7,103,,0.0040697334334254265
8,116,,0.00411994569003582
9,129,,0.004129317589104176
10,142,,0.004173398949205875
11,149,0.04213755577802658,
11,155,,0.004163037519901991
12,168,,0.00394840445369482
13,181,,0.004180932883173227
14,194,,0.004192090593278408
15,199,0.03415662795305252,
15,207,,0.004093915689736605
16,220,,0.004110302776098251
17,233,,0.0040475730784237385
18,246,,0.004273416940122843
19,249,0.0038973900955170393,
19,259,,0.0038037423510104418
20,272,,0.003696796717122197
21,285,,0.0038040613289922476
22,298,,0.003577366704121232
23,299,0.009194129146635532,
23,311,,0.0040953150019049644
24,324,,0.0038429114501923323
25,337,,0.003740560030564666
26,349,0.02774105593562126,
26,350,,0.0036477246321737766
27,363,,0.003965566400438547
28,376,,0.003678718814626336
29,389,,0.003669261932373047
30,399,0.005850664339959621,
30,402,,0.003764932742342353
31,415,,0.0037136448081582785
32,428,,0.0036188149824738503
33,441,,0.0036732901353389025
34,449,0.004347880370914936,
34,454,,0.0036459281109273434
35,467,,0.0037144708912819624
36,480,,0.0036538122221827507
37,493,,0.0037317329552024603
38,499,0.015860900282859802,
38,506,,0.0036827242001891136
39,519,,0.0036487020552158356
40,532,,0.003635152941569686
41,545,,0.0037124413065612316
42,549,0.003052628366276622,
42,558,,0.003596559399738908
43,571,,0.003694906597957015
44,584,,0.003785582957789302
45,597,,0.00383071880787611
46,599,0.0027656028978526592,
46,610,,0.003714533057063818
47,623,,0.0037755114026367664
48,636,,0.003749255556613207
49,649,0.002461364958435297,
49,649,,0.003746642265468836
50,662,,0.0037121984641999006
51,675,,0.003688759868964553
52,688,,0.003677452215924859
53,699,0.01874564401805401,
53,701,,0.003634320106357336
54,714,,0.0036580588202923536
55,727,,0.0037087188102304935
56,740,,0.003683226415887475
57,749,0.017255906015634537,
57,753,,0.0036763250827789307
58,766,,0.0037282637786120176
59,779,,0.0036734913010150194
60,792,,0.003729600226506591
61,799,0.0024599952157586813,
61,805,,0.003712754463776946
62,818,,0.003658808534964919
