epoch,step,train_loss,val_loss
0,24,,0.003978235647082329
1,49,0.003131803357973695,
1,49,,0.003997530788183212
2,74,,0.005468097981065512
3,99,0.005960568785667419,
3,99,,0.004319424275308847
4,124,,0.003884192556142807
5,149,0.018055599182844162,
5,149,,0.004051113035529852
6,174,,0.003963451366871595
7,199,0.0014663696056231856,
7,199,,0.0041471510194242
8,224,,0.004144905600696802
9,249,0.004898774903267622,
9,249,,0.0037990345153957605
10,274,,0.003853896399959922
11,299,0.0035856268368661404,
11,299,,0.003661754773929715
12,324,,0.003982893191277981
13,349,0.004063759930431843,
13,349,,0.004207381512969732
14,374,,0.003678923239931464
15,399,0.026582706719636917,
15,399,,0.0036612225230783224
16,424,,0.004126332700252533
17,449,0.045941486954689026,
17,449,,0.003699901048094034
18,474,,0.003677214263007045
19,499,0.0015406891470775008,
19,499,,0.0036916579119861126
20,524,,0.0037326039746403694
21,549,0.07358511537313461,
21,549,,0.003772626630961895
22,574,,0.003692628350108862
23,599,0.0053362478502094746,
23,599,,0.003687602700665593
24,624,,0.0037133211735635996
25,649,0.012561059556901455,
25,649,,0.003720630193129182
26,674,,0.003757389960810542
27,699,0.007476479280740023,
27,699,,0.003725573653355241
28,724,,0.0038074790500104427
29,749,0.011415365152060986,
29,749,,0.0037291443441063166
30,774,,0.003764126915484667
31,799,0.0031168742571026087,
31,799,,0.0037093982100486755
32,824,,0.003780284198001027
33,849,0.051957909017801285,
33,849,,0.003753661410883069
34,874,,0.0038431098219007254
35,899,0.0024650301784276962,
35,899,,0.003958467859774828
36,924,,0.003739625681191683
37,949,0.003507419489324093,
37,949,,0.003749406896531582
38,974,,0.0037981087807565928
39,999,0.0062008085660636425,
39,999,,0.003682674840092659
40,1024,,0.00374274211935699
41,1049,0.0016762937884777784,
41,1049,,0.0037703709676861763
42,1074,,0.003704490838572383
43,1099,0.0020023519173264503,
43,1099,,0.003745825495570898
44,1124,,0.003724020440131426
45,1149,0.024002796038985252,
45,1149,,0.003743183333426714
