epoch,step,train_loss,val_loss
0,24,,0.004518088884651661
1,49,0.0037502238992601633,
1,49,,0.0045573352836072445
2,74,,0.004155689384788275
3,99,0.012324993498623371,
3,99,,0.003958706744015217
4,124,,0.003825513878837228
5,149,0.009674835950136185,
5,149,,0.004382733721286058
6,174,,0.0039926148019731045
7,199,0.0002785920223686844,
7,199,,0.004392034374177456
8,224,,0.00399959459900856
9,249,0.0031184256076812744,
9,249,,0.004365484230220318
10,274,,0.0038393859285861254
11,299,0.0008005150593817234,
11,299,,0.0038852402940392494
12,324,,0.003953957464545965
13,349,0.005839589051902294,
13,349,,0.00401770044118166
14,374,,0.0038722464814782143
15,399,0.005644121207296848,
15,399,,0.003919526468962431
16,424,,0.003874402027577162
17,449,0.016432639211416245,
17,449,,0.003858101787045598
18,474,,0.0041608382016420364
19,499,0.03981919214129448,
19,499,,0.0038798165041953325
20,524,,0.004010604228824377
21,549,0.031259238719940186,
21,549,,0.003929873462766409
22,574,,0.0038862142246216536
23,599,0.004732789937406778,
23,599,,0.0038689461071044207
24,624,,0.003893115557730198
25,649,0.187667578458786,
25,649,,0.004053379874676466
26,674,,0.003897795220836997
27,699,0.005052729044109583,
27,699,,0.004021419677883387
28,724,,0.0039890119805932045
29,749,0.004760183859616518,
29,749,,0.0039375945925712585
30,774,,0.0039350371807813644
31,799,0.004651151597499847,
31,799,,0.003984912298619747
32,824,,0.003906837664544582
33,849,0.08383017778396606,
33,849,,0.003918614238500595
34,874,,0.003971638157963753
