epoch,step,train_loss,val_loss
0,5,,0.1469314992427826
1,11,,0.07987888157367706
2,17,,0.04737500101327896
3,23,,0.04729754477739334
4,29,,0.047644343227148056
5,35,,0.04600386694073677
6,41,,0.045995064079761505
7,47,,0.04579406604170799
8,49,0.05690136179327965,
8,53,,0.04597429558634758
9,59,,0.04564788565039635
10,65,,0.046321798115968704
11,71,,0.04578845202922821
12,77,,0.046045295894145966
13,83,,0.045702166855335236
14,89,,0.04603849723935127
15,95,,0.04560556262731552
16,99,0.08376643061637878,
16,101,,0.045639391988515854
17,107,,0.04586471617221832
18,113,,0.04622815549373627
19,119,,0.04594447463750839
20,125,,0.045811090618371964
21,131,,0.04643543064594269
22,137,,0.04582555219531059
23,143,,0.04597634822130203
24,149,0.08080574125051498,
24,149,,0.04576311260461807
25,155,,0.046076372265815735
