epoch,step,train_loss,val_loss
0,12,,0.00415393291041255
1,25,,0.0055609168484807014
2,38,,0.0036697692703455687
3,49,0.01044807955622673,
3,51,,0.004471252206712961
4,64,,0.004056418780237436
5,77,,0.004124217666685581
6,90,,0.004140790086239576
7,99,0.003260078839957714,
7,103,,0.004129593726247549
8,116,,0.003904035547748208
9,129,,0.004160492215305567
10,142,,0.0041733006946742535
11,149,0.01645044982433319,
11,155,,0.004122775048017502
12,168,,0.004350023809820414
13,181,,0.0038348648231476545
14,194,,0.004456487484276295
15,199,0.0044594574719667435,
15,207,,0.003830146510154009
16,220,,0.004439039155840874
17,233,,0.003707823110744357
18,246,,0.004298294894397259
19,249,0.003167396644130349,
19,259,,0.003983327653259039
20,272,,0.004058880265802145
21,285,,0.003852819325402379
22,298,,0.00432163942605257
23,299,0.011648017913103104,
23,311,,0.004012366756796837
24,324,,0.0037162229418754578
25,337,,0.003744706278666854
26,349,0.00554358446970582,
26,350,,0.0036266117822378874
27,363,,0.0038994301576167345
28,376,,0.004043447319418192
29,389,,0.003616220550611615
30,399,0.0030481391586363316,
30,402,,0.0038715351838618517
31,415,,0.0036273424047976732
32,428,,0.003918115980923176
33,441,,0.003723145229741931
34,449,0.006540345028042793,
34,454,,0.003832169808447361
35,467,,0.0037208839785307646
36,480,,0.003908625338226557
37,493,,0.003627282101660967
38,499,0.018186170607805252,
38,506,,0.0038132602348923683
39,519,,0.0038004261441528797
40,532,,0.0036949708592146635
41,545,,0.003821208607405424
42,549,0.002049633301794529,
42,558,,0.0037333841901272535
43,571,,0.0037937171291559935
44,584,,0.0037496346049010754
45,597,,0.003821972059085965
46,599,0.0047859628684818745,
46,610,,0.0037303552962839603
47,623,,0.003821935039013624
48,636,,0.00376760121434927
49,649,0.0024399280082434416,
49,649,,0.003683868097141385
50,662,,0.003723772941157222
51,675,,0.0037278819363564253
52,688,,0.003663836047053337
53,699,0.004160113167017698,
53,701,,0.003877914510667324
54,714,,0.0037027373909950256
55,727,,0.003702573012560606
56,740,,0.0037232632748782635
57,749,0.0043203397653996944,
57,753,,0.0036203914787620306
58,766,,0.004054259043186903
59,779,,0.003649400779977441
